Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genus]	Characteristics[Species]	Characteristics[Observation Unit Type]	Characteristics[Variety Name]	Characteristics[Original Coding]	Characteristics[Reference Database 1]	Characteristics[Reference Database 2]	Protocol REF	Sample Name	Factor Value[year]	Factor Value[loc]	Factor Value[rep]	Factor Value[block]
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_5271	2010	SEL	2	48
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_5761	2010	WOH	1	17
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_1671	2009	WOH	1	8
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_3461	2010	JAN	1	14
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_4871	2010	SEL	1	8
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_2421	2010	AND	2	2
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_5351	2010	SEL	2	56
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_4042	2010	SAU	2	3
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_2381	2009	WOH	2	79
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_431	2009	AND	2	44
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_1081	2009	SEL	1	29
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_6361	2010	WOH	2	77
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_121	2009	AND	1	13
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_2723	2010	AND	1	17
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_4681	2010	SAU	1	35
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_3481	2010	JAN	2	15
genotype_10	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Batis	GW0010	http://wheatpedigree.net/sort/show/70600	https://www.proplanta.de/Pflanzenbauberater/Sorten/Batis--Winterweichweizen_sks_1968WW1.html	Phenotyping	sample_1281	2009	SEL	2	49
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_854	2009	SEL	1	6
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_3748	2010	JAN	1	28
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_5142	2010	SEL	1	35
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_4228	2010	SAU	2	12
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_2966	2010	AND	1	29
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_3943	2010	JAN	2	38
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_1215	2009	SEL	2	42
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_442	2009	AND	2	45
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_4327	2010	SAU	1	17
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_2424	2010	AND	2	2
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_1952	2009	WOH	1	36
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_2055	2009	WOH	2	46
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_5335	2010	SEL	2	54
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_15	2009	AND	1	2
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_5881	2010	WOH	1	29
genotype_100	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Winnetou	GW0095	http://wheatpedigree.net/sort/show/65452	https://www.proplanta.de/Pflanzenbauberater/Sorten/Winnetou-Winterweichweizen_sks_2800WW1.html	Phenotyping	sample_6094	2010	WOH	2	50
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_3647	2010	JAN	1	23
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_5003	2010	SEL	1	21
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_3003	2010	AND	1	31
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_824	2009	SEL	1	3
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_5502	2010	SEL	2	71
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_1382	2009	SEL	2	59
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_503	2009	AND	2	51
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_4427	2010	SAU	1	22
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_6154	2010	WOH	2	56
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_4463	2010	SAU	2	24
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_5895	2010	WOH	1	30
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_5	2009	AND	1	1
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_2767	2010	AND	2	19
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_3406	2010	JAN	2	11
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_1843	2009	WOH	1	25
genotype_101	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zentos	GW0096	http://wheatpedigree.net/sort/show/69001	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zentos--Winterweichweizen_sks_1931WW1.html	Phenotyping	sample_2264	2009	WOH	2	67
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_3385	2010	JAN	1	10
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_526	2009	AND	2	53
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_1683	2009	WOH	1	9
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_4205	2010	SAU	1	11
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_1476	2009	SEL	2	68
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_1075	2009	SEL	1	28
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_2096	2009	WOH	2	50
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_3749	2010	JAN	2	28
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_2865	2010	AND	1	24
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_5082	2010	SEL	1	29
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_103	2009	AND	1	11
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_4705	2010	SAU	2	36
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_6197	2010	WOH	2	60
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_5772	2010	WOH	1	18
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_3088	2010	AND	2	35
genotype_102	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Zobel	GW0097	http://wheatpedigree.net/sort/show/86321	https://www.proplanta.de/Pflanzenbauberater/Sorten/Zobel-Winterweichweizen_sks_3318WW1.html	Phenotyping	sample_5482	2010	SEL	2	69
genotype_103	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Cliff	GW0098	http://wheatpedigree.net/sort/show/113773	NA	Phenotyping	sample_4428	2010	SAU	2	22
