Sample Name	Protocol REF	Parameter Value[HD]	Unit	Term Source REF	Term Accession Number	Parameter Value[PH]	Unit	Term Source REF	Term Accession Number	Parameter Value[TKW]	Unit	Term Source REF	Term Accession Number	Parameter Value[EW]	Unit	Term Source REF	Term Accession Number	Parameter Value[GPE]	Unit	Term Source REF	Parameter Value[GY]	Unit	Term Source REF	Parameter Value[SW]	Unit	Term Source REF	Parameter Value[GH]	Unit	Term Source REF	Term Accession Number	Parameter Value[STC]	Unit	Term Source REF	Term Accession Number	Parameter Value[PC]	Unit	Term Source REF	Term Accession Number	Parameter Value[SDS]	Unit	Term Source REF	Term Accession Number	Parameter Value[HAG]	Unit	Term Source REF	Term Accession Number	Parameter Value[ZEL]	Unit	Term Source REF	Term Accession Number
sample_1007	Phenotyping	153	days	UO	http://purl.obolibrary.org/obo/UO_0000033	82	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	47.2	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	119.963636363636	dt/ha	UO	79.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	223.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	20.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1008	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	79	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	51.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	103.527272727273	dt/ha	UO	77.65	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	269.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	42.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1009	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	79	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	51.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	106.363636363636	dt/ha	UO	79.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	333.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	41.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_101	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	107	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	42.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	43.5	number	UO	83.0	dt/ha	UO	80.8	kg/hL	UO	51.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	13.47	%	UO	http://purl.obolibrary.org/obo/UO_0000187	91.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	64.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1010	Phenotyping	155	days	UO	http://purl.obolibrary.org/obo/UO_0000033	76	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	48.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	103.490909090909	dt/ha	UO	78.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	392.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	47.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1011	Phenotyping	149	days	UO	http://purl.obolibrary.org/obo/UO_0000033	92	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	47.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	102.345454545455	dt/ha	UO	81.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	372.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	23.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1012	Phenotyping	147	days	UO	http://purl.obolibrary.org/obo/UO_0000033	91	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	51.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	108.890909090909	dt/ha	UO	80.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	262.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	27.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1013	Phenotyping	149	days	UO	http://purl.obolibrary.org/obo/UO_0000033	82	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	46.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	101.454545454545	dt/ha	UO	81.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	336.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	43.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1014	Phenotyping	155	days	UO	http://purl.obolibrary.org/obo/UO_0000033	74	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	112.327272727273	dt/ha	UO	74.85	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	310.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	25.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1015	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	93	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	46.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	101.781818181818	dt/ha	UO	81.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	261.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	36.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1016	Phenotyping	157	days	UO	http://purl.obolibrary.org/obo/UO_0000033	92	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	48.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	89.6727272727273	dt/ha	UO	84.5	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187	12.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	163.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	55.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1017	Phenotyping	151	days	UO	http://purl.obolibrary.org/obo/UO_0000033	93	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	98.6727272727273	dt/ha	UO	82.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	334.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	54.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1018	Phenotyping	149	days	UO	http://purl.obolibrary.org/obo/UO_0000033	88	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	45.9	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	95.4909090909091	dt/ha	UO	80.5	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	287.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	36.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1019	Phenotyping	149	days	UO	http://purl.obolibrary.org/obo/UO_0000033	83	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	46.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	105.418181818182	dt/ha	UO	82.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	356.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	31.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_102	Phenotyping	148	days	UO	http://purl.obolibrary.org/obo/UO_0000033	100	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	44.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	47.0	number	UO	85.5	dt/ha	UO	76.5	kg/hL	UO	49.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	12.26	%	UO	http://purl.obolibrary.org/obo/UO_0000187	80.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	60.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1020	Phenotyping	149	days	UO	http://purl.obolibrary.org/obo/UO_0000033	75	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	40.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	104.981818181818	dt/ha	UO	79.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	290.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	20.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1021	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	88	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	51.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	108.454545454545	dt/ha	UO	77.65	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	325.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	25.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1022	Phenotyping	150	days	UO	http://purl.obolibrary.org/obo/UO_0000033	91	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	46.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	94.8181818181818	dt/ha	UO	81.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	341.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	41.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1023	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	75	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	57.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	95.9454545454546	dt/ha	UO	78.5	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	281.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	49.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1024	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	72	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	56.2	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	99.3636363636364	dt/ha	UO	78.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	314.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	40.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1025	Phenotyping	153	days	UO	http://purl.obolibrary.org/obo/UO_0000033	83	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	51.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	116.745454545455	dt/ha	UO	79.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	279.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	22.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1026	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	77	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	44.2	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	100.545454545455	dt/ha	UO	76.85	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	295.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	26.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1027	Phenotyping	158	days	UO	http://purl.obolibrary.org/obo/UO_0000033	101	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	41.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	96.2	dt/ha	UO	83.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	350.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	33.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1028	Phenotyping	155	days	UO	http://purl.obolibrary.org/obo/UO_0000033	85	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	51.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	114.636363636364	dt/ha	UO	79.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	71.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	254.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010		ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1029	Phenotyping	153	days	UO	http://purl.obolibrary.org/obo/UO_0000033	84	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	44.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	112.363636363636	dt/ha	UO	78.05	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	233.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	20.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_103	Phenotyping	150	days	UO	http://purl.obolibrary.org/obo/UO_0000033	105	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	43.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	56.4	number	UO	94.1666666666667	dt/ha	UO	79.7	kg/hL	UO	54.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	12.49	%	UO	http://purl.obolibrary.org/obo/UO_0000187	88.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	63.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1030	Phenotyping	153	days	UO	http://purl.obolibrary.org/obo/UO_0000033	84	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	50.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	106.563636363636	dt/ha	UO	78.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	344.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	34.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
