Sample Name	Protocol REF	Parameter Value[FHB]	Parameter Value[DTR]	Parameter Value[SEP]	Assay Name
sample_1159	Phenotyping	5.05555555555556			assay_1159
sample_116	Phenotyping	12.2666666666667			assay_116
sample_1160	Phenotyping	4.38055555555556			assay_1160
sample_1161	Phenotyping	9.7			assay_1161
sample_1162	Phenotyping	27.3333333333333			assay_1162
sample_1163	Phenotyping	41.5555555555556			assay_1163
sample_1164	Phenotyping	50.6666666666667			assay_1164
sample_1165	Phenotyping	8.59444444444444			assay_1165
sample_1166	Phenotyping	6.43888888888889			assay_1166
sample_1167	Phenotyping	12.1388888888889			assay_1167
sample_1168	Phenotyping	2.53333333333333			assay_1168
sample_1169	Phenotyping	2.75			assay_1169
sample_117	Phenotyping	12.75			assay_117
sample_1170	Phenotyping	5.80555555555556			assay_1170
sample_1171	Phenotyping	3.17777777777778			assay_1171
sample_1172	Phenotyping	4.39555555555556			assay_1172
sample_1173	Phenotyping	4.6			assay_1173
sample_1174	Phenotyping	4.67444444444444			assay_1174
sample_1175	Phenotyping	2.89333333333333			assay_1175
sample_1176	Phenotyping	3.44			assay_1176
sample_1177	Phenotyping	2.88888888888889			assay_1177
sample_1178	Phenotyping	3.64722222222222			assay_1178
sample_1179	Phenotyping	4.76944444444444			assay_1179
sample_118	Phenotyping	34.0			assay_118
sample_1180	Phenotyping	1.94444444444444			assay_1180
sample_1181	Phenotyping	1.15111111111111			assay_1181
sample_1182	Phenotyping	1.02222222222222			assay_1182
sample_1183	Phenotyping	1.525			assay_1183
sample_1184	Phenotyping	5.83333333333333			assay_1184
sample_1185	Phenotyping	6.04444444444444			assay_1185
sample_1186	Phenotyping	3.75555555555556			assay_1186
sample_1187	Phenotyping	4.35555555555556			assay_1187
sample_1188	Phenotyping	7.8			assay_1188
sample_1189	Phenotyping	9.50666666666667			assay_1189
sample_119	Phenotyping	17.4222222222222			assay_119
sample_1190	Phenotyping	9.1			assay_1190
sample_1191	Phenotyping	10.8			assay_1191
sample_1192	Phenotyping	5.8			assay_1192
sample_1193	Phenotyping	5.95			assay_1193
sample_1194	Phenotyping	6.48			assay_1194
sample_1195	Phenotyping	5.05555555555556			assay_1195
sample_1196	Phenotyping	4.33333333333333			assay_1196
sample_1197	Phenotyping	9.1			assay_1197
sample_1198	Phenotyping	3.16666666666667			assay_1198
sample_1199	Phenotyping	2.81888888888889			assay_1199
sample_12	Phenotyping	7.58333333333333			assay_12
sample_120	Phenotyping	34.4444444444444			assay_120
sample_1200	Phenotyping	2.56388888888889			assay_1200
sample_1201	Phenotyping	7.0		1.5	assay_1201
sample_1202	Phenotyping	6.4		1.0	assay_1202
sample_1203	Phenotyping	9.625		3.25	assay_1203
sample_1204	Phenotyping	0.15		0.25	assay_1204
sample_1205	Phenotyping	3.125		0.25	assay_1205
sample_1206	Phenotyping	0.0175		1.0	assay_1206
sample_1207	Phenotyping	15.4375		3.5	assay_1207
sample_1208	Phenotyping	8.75		3.5	assay_1208
sample_1209	Phenotyping	9.75		2.5	assay_1209
sample_121	Phenotyping	27.75			assay_121
sample_1210	Phenotyping	2.30625		3.0	assay_1210
sample_1211	Phenotyping	2.4375		3.0	assay_1211
sample_1212	Phenotyping	1.25		6.75	assay_1212
sample_1213	Phenotyping	3.15		1.0	assay_1213
sample_1214	Phenotyping	0.7875		1.0	assay_1214
sample_1215	Phenotyping	1.4		3.75	assay_1215
sample_1216	Phenotyping	16.0		8.5	assay_1216
sample_1217	Phenotyping	7.5		8.5	assay_1217
sample_1218	Phenotyping	15.9375		4.75	assay_1218
sample_1219	Phenotyping	0.1875		1.75	assay_1219
sample_122	Phenotyping	35.0			assay_122
sample_1220	Phenotyping	0.35		1.75	assay_1220
sample_1221	Phenotyping	0.025		2.25	assay_1221
sample_1222	Phenotyping	11.725		1.0	assay_1222
sample_1223	Phenotyping	10.4		1.0	assay_1223
sample_1224	Phenotyping	13.125		1.0	assay_1224
sample_1225	Phenotyping	4.8125		0.25	assay_1225
sample_1226	Phenotyping	0.30625		0.25	assay_1226
sample_1227	Phenotyping	2.1		1.0	assay_1227
sample_1228	Phenotyping	5.5		2.5	assay_1228
sample_1229	Phenotyping	0.525		2.5	assay_1229
sample_123	Phenotyping	19.5555555555556			assay_123
sample_1230	Phenotyping	3.15		3.25	assay_1230
sample_1231	Phenotyping	3.29		0.25	assay_1231
sample_1232	Phenotyping	3.15		0.25	assay_1232
sample_1233	Phenotyping	2.08		0.0	assay_1233
sample_1234	Phenotyping	5.6875		2.75	assay_1234
sample_1235	Phenotyping	7.875		2.75	assay_1235
sample_1236	Phenotyping	6.75		0.5	assay_1236
sample_1237	Phenotyping	5.3625		4.75	assay_1237
sample_1238	Phenotyping	15.75		4.75	assay_1238
sample_1239	Phenotyping	12.1875		3.75	assay_1239
sample_124	Phenotyping	28.0			assay_124
sample_1240	Phenotyping	9.0		3.75	assay_1240
sample_1241	Phenotyping	10.5		3.75	assay_1241
sample_1242	Phenotyping	11.375		2.75	assay_1242
sample_1243	Phenotyping	20.1875		12.5	assay_1243
sample_1244	Phenotyping	10.5625		12.5	assay_1244
sample_1245	Phenotyping	12.75		6.25	assay_1245
sample_1246	Phenotyping	5.775		1.75	assay_1246
sample_1247	Phenotyping	1.4875		1.75	assay_1247
sample_1248	Phenotyping	8.4		2.0	assay_1248
sample_1249	Phenotyping	8.25		12.25	assay_1249
sample_125	Phenotyping	29.2777777777778			assay_125
sample_1250	Phenotyping	9.625		12.25	assay_1250
sample_1251	Phenotyping	11.375		8.25	assay_1251
sample_1252	Phenotyping	19.125		12.25	assay_1252
sample_1253	Phenotyping	15.9375		12.25	assay_1253
sample_1254	Phenotyping	14.875		9.0	assay_1254
sample_1255	Phenotyping	20.625		3.0	assay_1255
sample_1256	Phenotyping	30.1875		3.0	assay_1256
sample_1257	Phenotyping	24.75		6.0	assay_1257
sample_1258	Phenotyping	14.0625		4.75	assay_1258
sample_1259	Phenotyping	8.25		4.75	assay_1259
sample_126	Phenotyping	36.6666666666667			assay_126
sample_1260	Phenotyping	12.1875		7.25	assay_1260
sample_1261	Phenotyping	4.8125		4.5	assay_1261
sample_1262	Phenotyping	0.2975		4.5	assay_1262
sample_1263	Phenotyping	7.35		5.0	assay_1263
sample_1264	Phenotyping	19.0		3.0	assay_1264
sample_1265	Phenotyping	20.0		3.0	assay_1265
sample_1266	Phenotyping	31.5		1.75	assay_1266
sample_1267	Phenotyping	30.0		5.75	assay_1267
sample_1268	Phenotyping	28.875		5.75	assay_1268
sample_1269	Phenotyping	30.0		8.0	assay_1269
sample_127	Phenotyping	30.3333333333333			assay_127
sample_1270	Phenotyping	9.375		2.25	assay_1270
sample_1271	Phenotyping	9.5625		2.25	assay_1271
sample_1272	Phenotyping	11.375		3.25	assay_1272
sample_1273	Phenotyping	14.875		1.25	assay_1273
sample_1274	Phenotyping	2.925		1.25	assay_1274
sample_1275	Phenotyping	11.25		2.5	assay_1275
sample_1276	Phenotyping	11.0		9.0	assay_1276
sample_1277	Phenotyping	1.0		9.0	assay_1277
sample_1278	Phenotyping	3.75		4.5	assay_1278
sample_1279	Phenotyping	7.875		15.75	assay_1279
sample_128	Phenotyping	32.0			assay_128
sample_1280	Phenotyping	8.25		15.75	assay_1280
sample_1281	Phenotyping	14.0		10.0	assay_1281
sample_1282	Phenotyping	11.4		9.75	assay_1282
sample_1283	Phenotyping	12.1875		9.75	assay_1283
sample_1284	Phenotyping	15.75		7.5	assay_1284
sample_1285	Phenotyping	8.25		2.25	assay_1285
sample_1286	Phenotyping	5.0		2.25	assay_1286
sample_1287	Phenotyping	6.3		3.0	assay_1287
sample_1288	Phenotyping	9.75		3.0	assay_1288
sample_1289	Phenotyping	6.175		3.0	assay_1289
sample_129	Phenotyping	50.9166666666667			assay_129
sample_1290	Phenotyping	8.25		1.75	assay_1290
sample_1291	Phenotyping	18.0		2.25	assay_1291
sample_1292	Phenotyping	18.0625		2.25	assay_1292
sample_1293	Phenotyping	13.0		2.0	assay_1293
sample_1294	Phenotyping	4.725		2.5	assay_1294
sample_1295	Phenotyping	2.75		2.5	assay_1295
sample_1296	Phenotyping	12.1875		4.5	assay_1296
sample_1297	Phenotyping	11.375		1.75	assay_1297
sample_1298	Phenotyping	13.8125		1.75	assay_1298
sample_1299	Phenotyping	9.0		1.0	assay_1299
sample_13	Phenotyping	2.21666666666667			assay_13
sample_130	Phenotyping	14.0166666666667			assay_130
sample_1300	Phenotyping	7.8		4.0	assay_1300
sample_1301	Phenotyping	4.5		4.0	assay_1301
sample_1302	Phenotyping	7.5		2.5	assay_1302
sample_1303	Phenotyping	0.35		1.25	assay_1303
sample_1304	Phenotyping	3.75		1.25	assay_1304
sample_1305	Phenotyping	3.0		2.25	assay_1305
sample_1306	Phenotyping	13.0		7.25	assay_1306
sample_1307	Phenotyping	23.375		7.25	assay_1307
sample_1308	Phenotyping	14.0		11.75	assay_1308
sample_1309	Phenotyping	7.525		2.25	assay_1309
sample_131	Phenotyping	10.15			assay_131
sample_1310	Phenotyping	9.625		2.25	assay_1310
sample_1311	Phenotyping	10.5		1.5	assay_1311
sample_1312	Phenotyping	16.0		5.75	assay_1312
sample_1313	Phenotyping	14.875		5.75	assay_1313
sample_1314	Phenotyping	12.1875		5.25	assay_1314
sample_1315	Phenotyping	4.8		1.25	assay_1315
sample_1316	Phenotyping	8.325		1.25	assay_1316
sample_1317	Phenotyping	15.5		1.5	assay_1317
sample_1318	Phenotyping	21.375		6.5	assay_1318
sample_1319	Phenotyping	14.875		6.5	assay_1319
sample_132	Phenotyping	9.33333333333333			assay_132
sample_1320	Phenotyping	15.0		2.0	assay_1320
sample_1321	Phenotyping	23.75		5.75	assay_1321
sample_1322	Phenotyping	17.0		5.75	assay_1322
sample_1323	Phenotyping	11.6875		4.5	assay_1323
sample_1324	Phenotyping	18.0		5.75	assay_1324
sample_1325	Phenotyping	28.875		5.75	assay_1325
sample_1326	Phenotyping	33.0		7.25	assay_1326
sample_1327	Phenotyping	18.0		9.75	assay_1327
sample_1328	Phenotyping	16.625		9.75	assay_1328
sample_1329	Phenotyping	23.625		5.75	assay_1329
sample_133	Phenotyping	18.46			assay_133
sample_1330	Phenotyping	6.875		6.5	assay_1330
sample_1331	Phenotyping	12.1875		6.5	assay_1331
sample_1332	Phenotyping	6.75		4.75	assay_1332
sample_1333	Phenotyping	32.8125		4.0	assay_1333
sample_1334	Phenotyping	21.25		4.0	assay_1334
sample_1335	Phenotyping	28.75		5.25	assay_1335
sample_1336	Phenotyping	4.3125		2.0	assay_1336
sample_1337	Phenotyping	13.125		2.0	assay_1337
sample_1338	Phenotyping	4.3875		7.25	assay_1338
sample_1339	Phenotyping	38.5		4.5	assay_1339
sample_134	Phenotyping	33.5833333333333			assay_134
sample_1340	Phenotyping	38.8125		4.5	assay_1340
sample_1341	Phenotyping	35.75		4.5	assay_1341
sample_1342	Phenotyping	27.3125		13.5	assay_1342
sample_1343	Phenotyping	30.1875		13.5	assay_1343
sample_1344	Phenotyping	20.25		13.75	assay_1344
sample_1345	Phenotyping	15.9375		4.5	assay_1345
sample_1346	Phenotyping	15.9375		4.5	assay_1346
sample_1347	Phenotyping	32.8125		13.25	assay_1347
sample_1348	Phenotyping	2.75		1.25	assay_1348
sample_1349	Phenotyping	0.32		1.25	assay_1349
sample_135	Phenotyping	36.6666666666667			assay_135
sample_1350	Phenotyping	0.2025		1.25	assay_1350
sample_1351	Phenotyping	7.5		6.0	assay_1351
sample_1352	Phenotyping	5.5		6.0	assay_1352
sample_1353	Phenotyping	11.725		5.5	assay_1353
sample_1354	Phenotyping	21.0		8.75	assay_1354
sample_1355	Phenotyping	27.5625		8.75	assay_1355
sample_1356	Phenotyping	30.25		12.5	assay_1356
sample_1357	Phenotyping	22.5		7.25	assay_1357
sample_1358	Phenotyping	23.625		7.25	assay_1358
sample_1359	Phenotyping	24.9375		2.75	assay_1359
sample_136	Phenotyping	3.65111111111111			assay_136
sample_1360	Phenotyping	23.375		5.0	assay_1360
sample_1361	Phenotyping	27.0		5.0	assay_1361
sample_1362	Phenotyping	14.0		3.75	assay_1362
sample_1363	Phenotyping	11.25		10.25	assay_1363
sample_1364	Phenotyping	6.375		10.25	assay_1364
sample_1365	Phenotyping	12.375		3.0	assay_1365
sample_1366	Phenotyping	8.75		3.5	assay_1366
sample_1367	Phenotyping	5.5		3.5	assay_1367
sample_1368	Phenotyping	8.6		4.5	assay_1368
sample_1369	Phenotyping	0.2625		15.0	assay_1369
sample_137	Phenotyping	2.95833333333333			assay_137
sample_1370	Phenotyping	1.8		15.0	assay_1370
sample_1371	Phenotyping	0.28		1.5	assay_1371
sample_1372	Phenotyping	12.1125		4.0	assay_1372
sample_1373	Phenotyping	8.8125		4.0	assay_1373
sample_1374	Phenotyping	9.45		12.75	assay_1374
sample_1375	Phenotyping	8.9375		4.0	assay_1375
sample_1376	Phenotyping	6.875		4.0	assay_1376
sample_1377	Phenotyping	10.575		5.0	assay_1377
sample_1378	Phenotyping	3.055		3.0	assay_1378
sample_1379	Phenotyping	5.2		3.0	assay_1379
sample_138	Phenotyping	9.22222222222222			assay_138
sample_1380	Phenotyping	8.9375		2.5	assay_1380
sample_1381	Phenotyping	13.125		3.5	assay_1381
sample_1382	Phenotyping	14.0		3.5	assay_1382
sample_1383	Phenotyping	19.125		3.0	assay_1383
sample_1384	Phenotyping	22.0		5.25	assay_1384
sample_1385	Phenotyping	21.25		5.25	assay_1385
sample_1386	Phenotyping	23.75		4.25	assay_1386
sample_1387	Phenotyping	16.625		2.25	assay_1387
sample_1388	Phenotyping	21.375		2.25	assay_1388
sample_1389	Phenotyping	18.0		3.0	assay_1389
sample_139	Phenotyping	27.75			assay_139
sample_1390	Phenotyping	10.075		1.25	assay_1390
sample_1391	Phenotyping	18.0		1.25	assay_1391
sample_1392	Phenotyping	10.5		3.0	assay_1392
sample_1393	Phenotyping	30.25		6.0	assay_1393
sample_1394	Phenotyping	30.0		6.0	assay_1394
sample_1395	Phenotyping	27.5625		1.75	assay_1395
sample_1396	Phenotyping	11.375		4.0	assay_1396
sample_1397	Phenotyping	17.8125		4.0	assay_1397
sample_1398	Phenotyping	26.775		1.25	assay_1398
sample_1399	Phenotyping	21.375		15.75	assay_1399
sample_14	Phenotyping	1.40555555555556			assay_14
sample_140	Phenotyping	46.0			assay_140
sample_1400	Phenotyping	6.875		15.75	assay_1400
sample_1401	Phenotyping	8.9375		6.0	assay_1401
sample_1402	Phenotyping	2.475		1.5	assay_1402
sample_1403	Phenotyping	3.29		1.5	assay_1403
sample_1404	Phenotyping	2.0		3.0	assay_1404
sample_1405	Phenotyping	30.1875		3.5	assay_1405
sample_1406	Phenotyping	22.5625		3.5	assay_1406
sample_1407	Phenotyping	20.25		4.0	assay_1407
sample_1408	Phenotyping	9.1		11.5	assay_1408
sample_1409	Phenotyping	7.5		11.5	assay_1409
sample_141	Phenotyping	35.75			assay_141
sample_1410	Phenotyping	6.0		4.0	assay_1410
sample_1411	Phenotyping	15.0		3.0	assay_1411
sample_1412	Phenotyping	17.0		3.0	assay_1412
sample_1413	Phenotyping	22.3125		2.5	assay_1413
sample_1414	Phenotyping	23.75		4.5	assay_1414
sample_1415	Phenotyping	15.9375		4.5	assay_1415
sample_1416	Phenotyping	22.3125		8.75	assay_1416
sample_1417	Phenotyping	31.25		1.75	assay_1417
sample_1418	Phenotyping	15.9375		1.75	assay_1418
sample_1419	Phenotyping	15.5		1.25	assay_1419
sample_142	Phenotyping	22.0722222222222			assay_142
sample_1420	Phenotyping	20.0		4.5	assay_1420
sample_1421	Phenotyping	27.5		4.5	assay_1421
sample_1422	Phenotyping	16.875		4.25	assay_1422
sample_1423	Phenotyping	22.3125		7.0	assay_1423
sample_1424	Phenotyping	19.0		7.0	assay_1424
sample_1425	Phenotyping	21.0		4.5	assay_1425
sample_1426	Phenotyping	11.25		9.75	assay_1426
sample_1427	Phenotyping	12.3375		9.75	assay_1427
sample_1428	Phenotyping	11.25		12.75	assay_1428
sample_1429	Phenotyping	25.0		11.5	assay_1429
sample_143	Phenotyping	21.7222222222222			assay_143
sample_1430	Phenotyping	23.75		11.5	assay_1430
sample_1431	Phenotyping	20.1875		9.25	assay_1431
sample_1432	Phenotyping	9.75		8.25	assay_1432
sample_1433	Phenotyping	7.3125		8.25	assay_1433
sample_1434	Phenotyping	15.75		3.5	assay_1434
sample_1435	Phenotyping	2.475		1.25	assay_1435
sample_1436	Phenotyping	0.9		1.25	assay_1436
sample_1437	Phenotyping	5.25		2.25	assay_1437
sample_1438	Phenotyping	37.5		5.5	assay_1438
sample_1439	Phenotyping	28.875		5.5	assay_1439
sample_144	Phenotyping	35.3055555555556			assay_144
sample_1440	Phenotyping	38.8125		4.0	assay_1440
sample_1441	Phenotyping	20.1875		2.25	assay_1441
sample_1442	Phenotyping	16.875		2.25	assay_1442
sample_1443	Phenotyping	18.375		3.5	assay_1443
sample_1444	Phenotyping	2.08		5.25	assay_1444
sample_1445	Phenotyping	2.925		5.25	assay_1445
sample_1446	Phenotyping	2.0		1.0	assay_1446
sample_1447	Phenotyping	3.0		3.0	assay_1447
sample_1448	Phenotyping	4.9		3.0	assay_1448
sample_1449	Phenotyping	10.8		2.5	assay_1449
sample_145	Phenotyping	17.25			assay_145
sample_1450	Phenotyping	23.75		3.0	assay_1450
sample_1451	Phenotyping	18.0625		3.0	assay_1451
sample_1452	Phenotyping	18.0		1.0	assay_1452
sample_1453	Phenotyping	25.875		7.25	assay_1453
sample_1454	Phenotyping	19.125		7.25	assay_1454
sample_1455	Phenotyping	24.9375		5.0	assay_1455
sample_1456	Phenotyping	21.0		2.25	assay_1456
sample_1457	Phenotyping	9.45		2.25	assay_1457
sample_1458	Phenotyping	23.625		2.25	assay_1458
sample_1459	Phenotyping	7.5625		1.75	assay_1459
sample_146	Phenotyping	16.1777777777778			assay_146
sample_1460	Phenotyping	7.5625		1.75	assay_1460
sample_1461	Phenotyping	14.875		1.0	assay_1461
sample_1462	Phenotyping	25.0		4.75	assay_1462
sample_1463	Phenotyping	17.0		4.75	assay_1463
sample_1464	Phenotyping	21.375		4.75	assay_1464
sample_1465	Phenotyping	21.375		7.5	assay_1465
sample_1466	Phenotyping	25.0		7.5	assay_1466
sample_1467	Phenotyping	20.25		3.75	assay_1467
sample_1468	Phenotyping	3.1		4.0	assay_1468
sample_1469	Phenotyping	2.75		4.0	assay_1469
sample_147	Phenotyping	32.8888888888889			assay_147
sample_1470	Phenotyping	2.4		2.5	assay_1470
